ID,REQ_STATUS,REQ_BEGIN_DATE,REQ_END_DATE,BUG_ID,SLA_FALL,PROJECT_NAME,OBJECT_NAME,SLA_FALL_DATE,PRIORITY,BUG_DETAILS,FIX_DESCRIPTION,RESPONSIBLE,CREATE_DATE,FIX_DATE,DATA_DOMAIN,FIX_TIME_HOURS,WEEK_START,DOMAIN_CRITICALITY
6032,SUCCESS,2026-05-29 19:00:59.890548,2026-05-29 19:05:31,,,RENI,STAGE_MOEX_RENI_RAW,,,,,,,,ФИНАНСЫ,,2026-05-25,High
6298,SUCCESS,2026-05-29 19:00:59.848295,2026-05-29 19:04:07,,,UNKN,STAGE_MOEX_UNKN_RAW,,,,,,,,ДРУГОЕ,,2026-05-25,Low
6072,SUCCESS,2026-05-29 19:00:59.756582,2026-05-29 19:02:31,,,RUALP,STAGE_MOEX_RUALP_RAW,,,,,,,,МЕТАЛЛУРГИЯ,,2026-05-25,Medium
6205,SUCCESS,2026-05-29 19:00:59.494072,2026-05-29 19:09:23,,,OZON_R,STAGE_MOEX_OZON_R_RAW,,,,,,,,РИТЕЙЛ,,2026-05-25,Low
6263,SUCCESS,2026-05-29 19:00:59.120331,2026-05-29 19:08:59,,,LABS,STAGE_MOEX_LABS_RAW,,,,,,,,МЕДИЦИНА,,2026-05-25,Low
6260,SUCCESS,2026-05-29 19:00:58.839236,2026-05-29 19:05:43,,,PHRM,STAGE_MOEX_PHRM_RAW,,,,,,,,МЕДИЦИНА,,2026-05-25,Low
6129,SUCCESS,2026-05-29 19:00:58.636683,2026-05-29 19:09:58,,,OZON,STAGE_MOEX_OZON_RAW,,,,,,,,ИТ,,2026-05-25,Medium
6192,SUCCESS,2026-05-29 19:00:58.392987,2026-05-29 19:10:03,,,SMRK,STAGE_MOEX_SMRK_RAW,,,,,,,,РИТЕЙЛ,,2026-05-25,Low
6300,SUCCESS,2026-05-29 19:00:58.230257,2026-05-29 19:10:08,,,HOLD,STAGE_MOEX_HOLD_RAW,,,,,,,,ДРУГОЕ,,2026-05-25,Low
6014,SUCCESS,2026-05-29 19:00:58.216207,2026-05-29 19:10:45,,,NGRK,STAGE_MOEX_NGRK_RAW,,,,,,,,НЕФТЬ И ГАЗ,,2026-05-25,High
6215,SUCCESS,2026-05-29 19:00:58.142247,2026-05-29 19:02:27,,,PHORP,STAGE_MOEX_PHORP_RAW,,,,,,,,ХИМИЯ,,2026-05-25,Low
6238,SUCCESS,2026-05-29 19:00:58.015019,2026-05-29 19:04:50,,,BLDG,STAGE_MOEX_BLDG_RAW,,,,,,,,СТРОИТЕЛЬСТВО,,2026-05-25,Low
6119,SUCCESS,2026-05-29 19:00:57.574016,2026-05-29 19:02:17,,,KROT,STAGE_MOEX_KROT_RAW,,,,,,,,ЭНЕРГЕТИКА,,2026-05-25,High
6259,SUCCESS,2026-05-29 19:00:57.564394,2026-05-29 19:09:32,,,GEMCP,STAGE_MOEX_GEMCP_RAW,,,,,,,,МЕДИЦИНА,,2026-05-25,Low
6274,SUCCESS,2026-05-29 19:00:57.488574,2026-05-29 19:10:43,,,SGRVP,STAGE_MOEX_SGRVP_RAW,,,,,,,,МАЙНИНГ,,2026-05-25,Low
6261,SUCCESS,2026-05-29 19:00:56.875008,2026-05-29 19:09:37,,,CLNC,STAGE_MOEX_CLNC_RAW,,,,,,,,МЕДИЦИНА,,2026-05-25,Low
6015,SUCCESS,2026-05-29 19:00:56.589920,2026-05-29 19:05:09,,,PSNG,STAGE_MOEX_PSNG_RAW,,,,,,,,НЕФТЬ И ГАЗ,,2026-05-25,High
6165,SUCCESS,2026-05-29 19:00:56.059726,2026-05-29 19:07:08,,,AFLTP,STAGE_MOEX_AFLTP_RAW,,,,,,,,ТРАНСПОРТ,,2026-05-25,Medium
6002,SUCCESS,2026-05-29 19:00:55.957424,2026-05-29 19:03:17,,,IRKT,STAGE_MOEX_IRKT_RAW,,,,,,,,НЕФТЬ И ГАЗ,,2026-05-25,High
5999,SUCCESS,2026-05-29 19:00:55.750479,2026-05-29 19:04:49,,,NVTKP,STAGE_MOEX_NVTKP_RAW,,,,,,,,НЕФТЬ И ГАЗ,,2026-05-25,High
6066,SUCCESS,2026-05-29 19:00:55.425075,2026-05-29 19:09:36,,,KAZT,STAGE_MOEX_KAZT_RAW,,,,,,,,МЕТАЛЛУРГИЯ,,2026-05-25,Medium
6178,SUCCESS,2026-05-29 19:00:55.325416,2026-05-29 19:08:39,,,OPLN,STAGE_MOEX_OPLN_RAW,,,,,,,,ТРАНСПОРТ,,2026-05-25,Medium
6174,SUCCESS,2026-05-29 19:00:55.243473,2026-05-29 19:07:16,,,LOGS,STAGE_MOEX_LOGS_RAW,,,,,,,,ТРАНСПОРТ,,2026-05-25,Medium
