ID,REQ_ID,SLA_FALL,PROJECT_NAME,OBJECT_NAME,SLA_FALL_DATE,ETA_FALL_DATE,PRIORITY,BUG_DETAILS,REASON_CATEGORY,FIX_DESCRIPTION,RESPONSIBLE,CREATE_DATE,FIX_DATE,INCIDENT_DATE,DATA_DOMAIN,DOMAIN_CRITICALITY,REQ_TYPE,REQ_STATUS,REQ_BEGIN_DATE,REQ_END_DATE,FIX_TIME_HOURS,WEEK_START,RISK_SCORE,I_REQ_ID,UP_REQ_ID,I_SCHEMA_NAME,COMMENTS,DEPENDENCY_COUNT,HAS_DEPENDENCY,ROOT_CAUSE_REQ_ID,ROOT_CAUSE_PROJECT_NAME,ROOT_CAUSE_OBJECT_NAME,ROOT_CAUSE_DOMAIN,ROOT_CAUSE_REASON_CATEGORY,DEPENDENCY_DEPTH,IS_CASCADE_INCIDENT,DOWNSTREAM_IMPACT_COUNT
1110,56041,1,MBNK,STAGE_MOEX_MBNK_RAW,2026-05-29 19:15:00,2026-05-29 19:42:00,High,Процесс загрузки MBNK критически завис. Первое аномальное поведение зафиксировано в 14:41. Превышен таймаут сессии Airflow.,Проблемы с зависимостями,Принудительное завершение процесса администратором (kill -9) в 19:51 и ручной перезапуск пайплайна.,Куликов Н.С.,2026-05-29 14:41:49.000000,2026-05-29 19:51:00,2026-05-29 19:15:00.000000,ФИНАНСЫ,High,,,,,5.15,2026-05-25,3,,,,,0,0,56041,MBNK,STAGE_MOEX_MBNK_RAW,ФИНАНСЫ,Не классифицировано,0,0,0
1121,56115,1,VLOG,STAGE_MOEX_VLOG_RAW,2026-05-29 19:15:00,2026-05-29 19:33:00,High,Ошибка валидации DWH. Обнаружено некорректное (отрицательное) значение в поле FACEVALUE пакета. Target Object: [STAGE_MOEX_VLOG_RAW]. Нарушен регламент поставки (SLA).,Человеческий фактор,Автоматический перезапуск заблокирован. Потребовался ручной откат транзакций в СУБД.,Терпунов А.А.,2026-05-29 15:18:57.000000,2026-05-29 19:51:00,2026-05-29 19:15:00.000000,ЭНЕРГЕТИКА,High,,,,,4.53,2026-05-25,3,,,,,0,0,56115,VLOG,STAGE_MOEX_VLOG_RAW,ЭНЕРГЕТИКА,Ошибка в данных / источнике,0,0,0
1114,56078,1,SSTL,STAGE_MOEX_SSTL_RAW,2026-05-29 19:15:00,2026-05-29 19:41:00,Medium,Сбой парсинга XML-схемы метаданных. Невалидная кодировка или недопустимый токен в строке конфигурации. Target Object: [STAGE_MOEX_SSTL_RAW]. Нарушен регламент поставки (SLA).,Человеческий фактор,Автоматический перезапуск заблокирован. Потребовался ручной откат транзакций в СУБД.,Гайсин К.Д.,2026-05-29 15:15:06.000000,2026-05-29 19:59:00,2026-05-29 19:15:00.000000,МЕТАЛЛУРГИЯ,Medium,,,,,4.73,2026-05-25,2,,,,,0,0,56078,SSTL,STAGE_MOEX_SSTL_RAW,МЕТАЛЛУРГИЯ,Ошибка в данных / источнике,0,0,0
1116,56089,1,KMZG,STAGE_MOEX_KMZG_RAW,2026-05-29 19:15:00,2026-05-29 19:34:00,Medium,Внешний мастер-справочник заблокирован другим процессом сборки. Доступ к родительским метаданным ограничен. Target Object: [STAGE_MOEX_KMZG_RAW]. Нарушен регламент поставки (SLA).,Человеческий фактор,Автоматический перезапуск заблокирован. Потребовался ручной откат транзакций в СУБД.,Терпунов А.А.,2026-05-29 16:23:53.000000,2026-05-29 19:52:00,2026-05-29 19:15:00.000000,МЕТАЛЛУРГИЯ,Medium,,,,,3.47,2026-05-25,2,,,,,0,0,56089,KMZG,STAGE_MOEX_KMZG_RAW,МЕТАЛЛУРГИЯ,Ошибка в данных / источнике,0,0,0
1125,56170,1,AMTP,STAGE_MOEX_AMTP_RAW,2026-05-29 19:15:00,2026-05-29 19:39:00,Medium,Ошибка трансформации данных: некорректная регулярка в маппинге текстового поля привела к падению парсера. Target Object: [STAGE_MOEX_AMTP_RAW]. Нарушен регламент поставки (SLA).,Человеческий фактор,Автоматический перезапуск заблокирован. Потребовался ручной откат транзакций в СУБД.,Куликов Н.С.,2026-05-29 14:34:27.000000,2026-05-29 20:09:00,2026-05-29 19:15:00.000000,ТРАНСПОРТ,Medium,,,,,5.58,2026-05-25,2,,,,,0,0,56170,AMTP,STAGE_MOEX_AMTP_RAW,ТРАНСПОРТ,Ошибка в данных / источнике,0,0,0
1126,56190,1,FIVEP,STAGE_MOEX_FIVEP_RAW,2026-05-29 19:15:00,2026-05-29 19:43:00,Low,Неконсистентная структура JSON источника. В ответе API отсутствует обязательный массив 'history.columns'. Target Object: [STAGE_MOEX_FIVEP_RAW]. Нарушен регламент поставки (SLA).,Ошибки в данных/источнике,Автоматический перезапуск заблокирован. Потребовался ручной откат транзакций в СУБД.,Куликов Н.С.,2026-05-29 14:17:20.000000,2026-05-29 19:55:00,2026-05-29 19:15:00.000000,РИТЕЙЛ,Low,,,,,5.63,2026-05-25,1,,,,,0,0,56190,FIVEP,STAGE_MOEX_FIVEP_RAW,РИТЕЙЛ,Ошибка в данных / источнике,0,0,0
1127,56205,1,OZON_R,STAGE_MOEX_OZON_R_RAW,2026-05-29 19:15:00,2026-05-29 19:36:00,Low,Индекс базы данных неактивен или поврежден. Время выполнения тяжелого аналитического запроса превысило лимит. Target Object: [STAGE_MOEX_OZON_R_RAW]. Нарушен регламент поставки (SLA).,Проблемы с зависимостями,Автоматический перезапуск заблокирован. Потребовался ручной откат транзакций в СУБД.,Терпунов А.А.,2026-05-29 14:11:31.000000,2026-05-29 19:52:00,2026-05-29 19:15:00.000000,РИТЕЙЛ,Low,,,,,5.67,2026-05-25,1,,,,,0,0,56205,OZON_R,STAGE_MOEX_OZON_R_RAW,РИТЕЙЛ,Ошибка в данных / источнике,0,0,0
1129,56222,1,BIOH,STAGE_MOEX_BIOH_RAW,2026-05-29 19:15:00,2026-05-29 19:31:00,Low,Процесс загрузки BIOH критически завис. Первое аномальное поведение зафиксировано в 12:47. Превышен таймаут сессии Airflow.,Проблемы с зависимостями,Принудительное завершение процесса администратором (kill -9) в 19:47 и ручной перезапуск пайплайна.,Гайсин К.Д.,2026-05-29 12:47:45.000000,2026-05-29 19:47:00,2026-05-29 19:15:00.000000,ХИМИЯ,Low,,,,,6.99,2026-05-25,1,,,,,0,0,56222,BIOH,STAGE_MOEX_BIOH_RAW,ХИМИЯ,Не классифицировано,0,0,0
1132,56290,1,SEED,STAGE_MOEX_SEED_RAW,2026-05-29 19:15:00,2026-05-29 19:34:00,Low,"Каскадная блокировка пайплайна: родительская задача в Airflow упала, расчет дочерней витрины отменен. Target Object: [STAGE_MOEX_SEED_RAW]. Нарушен регламент поставки (SLA).",Человеческий фактор,Автоматический перезапуск заблокирован. Потребовался ручной откат транзакций в СУБД.,Куликов Н.С.,2026-05-29 14:24:00.000000,2026-05-29 19:51:00,2026-05-29 19:15:00.000000,ИНВЕСТИЦИИ,Low,,,,,5.45,2026-05-25,1,,,,,0,0,56290,SEED,STAGE_MOEX_SEED_RAW,ИНВЕСТИЦИИ,Проблемы с зависимостями,0,0,0
1108,55986,0,GAZP,STAGE_MOEX_GAZP_RAW,,,Medium,Процесс загрузки GAZP временно завис в дневную смену. Зафиксирована потеря пакетов промежуточного слоя.,Проблемы с зависимостями,Зависший процесс обнаружен и принудительно перезапущен дежурным администратором днем.,Куликов Н.С.,2026-05-29 17:50:25.000000,2026-05-29 19:49:25,2026-05-29 17:50:25.000000,НЕФТЬ И ГАЗ,High,,,,,1.98,2026-05-25,2,55987.0,55986.0,STAGE_MOEX,Каскадная зависимость: Расчет витрин Лукойла требует предварительной фиксации сырых данных Газпрома от 2026-05-29.,1,1,55986,GAZP,STAGE_MOEX_GAZP_RAW,НЕФТЬ И ГАЗ,Не классифицировано,0,0,0
